datetime,headline,source,summary,url
2025-04-15 13:10:32,CoinDesk 20 Performance Update: Bitcoin Cash (BCH) Gains 1% as Index Trades Flat,CoinDesk,9am CoinDesk 20 Update for 2025-04-15: leaders,https://www.coindesk.com/coindesk-indices/2025/04/15/coindesk-20-performance-update-bitcoin-cash-bch-gains-1-as-index-trades-flat
2025-04-15 12:55:00,Is Bitcoin the new safe haven during trade wars?,Cointelegraph,"Bitcoin joins the safe-haven debate as trade tensions rise              For decades, investors fled to gold and US Treasurys during crises, but in today’s digital, decentralized world, Bitcoin is starting to enter the safe-haven conversation. Despite its volatility, Bitcoin (BTC) has shown signs of resilience during global turbulence, including trade wars, prompting a fresh look at its role in preserving value.Let’s rewind a bit to understand where this question comes from. For decades, whenever uncertainty rattled the global economy, be it war, inflation, or sudden political shifts, investors did what they always do — run to the safest hills. Historically, those hills were made of gold or filled with US Treasury bonds. But things are changing. In a world that’s more digital, decentralized, and volatile than ever, people are asking whether Bitcoin might now be part of the conversation as a modern safe-haven asset, especially during disruptive events like trade wars.To get into this, you need to explore what makes an asset a safe haven in the first place, how Bitcoin has behaved during recent trade-related turbulence and whether it has earned its spot alongside more traditional defensive plays.First, the concept of a “safe haven” isn’t about making a profit. It’s about preserving value. In times of crisis, investors want assets that hold up under pressure. Gold has done this for decades. The US dollar, despite being fiat, is often seen as a safe haven due to its global reserve status and the strength of US financial institutions. Treasury bonds are backed by the full faith and credit of the US government. All these assets are supposed to be relatively low in volatility and high in liquidity.Now, here’s the twist: Bitcoin is not low in volatility. It’s notoriously wild. But despite that, you might have seen moments where it behaves like a safe haven. Not always, but sometimes, and that’s interesting.Isn’t it?                  The 2018-19 trade war vs Bitcoin’s role in times of turmoil              During the 2018–19 US-China trade war, Bitcoin surged as traditional markets faltered, hinting at its potential as a hedge in turbulent times. While its “digital gold” narrative gained traction, Bitcoin’s behavior often mirrors that of speculative tech stocks, keeping its safe-haven status an open question.Take the 2018–19 US-China trade war, for example. As tariff threats escalated and tensions between the two economic giants intensified, global markets became increasingly jittery. Tech stocks took a hit. Commodities wavered. Amid all this, something strange happened. Bitcoin quietly surged. From April to July 2019, the price of Bitcoin climbed from about $5,000 to over $12,000. It wasn’t alone. Gold also rallied during that time. However, this was one of the earliest signs that Bitcoin might not be just a risk-on asset but could also serve as a hedge in turbulent times. That period sparked a new narrative: Bitcoin as “digital gold.”The fixed supply of 21 million coins gave it scarcity. Its decentralized nature meant it wasn’t bound to any single government’s policies. And because it lived on a global, censorship-resistant network, it was insulated from the kind of capital controls that often follow during periods of financial stress. These qualities started to resonate with investors looking for alternatives to traditional safe havens.To be fair, Bitcoin hasn’t always stuck to the script. While there are moments where it moves inversely to risk assets, more often than not, it behaves like a speculative tech stock, especially over short time frames. Historically, Bitcoin has had a strong correlation with the Nasdaq. So, while the “digital gold” narrative is growing, it still sits side-by-side with the idea of Bitcoin being a high-beta bet for risk-seeking investors.Did you know? A 2025 study titled Institutional Adoption and Correlation Dynamics: Bitcoin’s Evolving Role in Financial Markets analyzed daily data from 2018 to 2025. The study found that Bitcoin’s correlation with the Nasdaq 100 intensified following key institutional milestones, with peaks reaching 0.87 in 2024. This suggests that Bitcoin has transitioned from an alternative asset toward a more integrated financial instrument.                  Inside the Trump tariff wars of 2025: Markets rattle, Bitcoin rises              In early 2025, Trump’s sweeping tariffs triggered panic across financial markets, with the Nasdaq and S&P suffering historic drops. Within two days, US stock indexes lost trillions, reigniting the debate over Bitcoin's role as a modern safe haven.Fast forward to April 2025, and the question of whether Bitcoin can serve as a safe haven got tested again. This time, it was in a much more pronounced way. In February 2025, Trump, now in his second term as president, announced a fresh wave of aggressive tariffs aimed at revitalizing American manufacturing. This was the kind of headline that immediately spooks financial markets, especially when major trading partners began whispering about retaliation. By April 2, Trump had declared what he called “Liberation Day,” a sweeping set of tariffs covering nearly all imported goods. It was framed as economic patriotism, but to markets, it spelled chaos.Chaos came quickly. On April 3, the Nasdaq Composite plunged by nearly 6%, losing over 1,000 points in one session. This was a record-setting drop in terms of raw numbers. The S&P 500 didn’t fare much better, falling close to 5%. Investors began to panic about supply chain disruptions, inflationary pressures and a possible global slowdown. Then came April 4, and the panic only deepened. The Nasdaq slid into official bear market territory, and the Dow lost over 2,200 points in a single day. Within 48 hours, America’s major stock indexes had lost trillions in value.Did you know? Barry Bannister, chief equity strategist at Stifel, noted that Bitcoin and the Nasdaq 100 have been driven by speculative fervor fueled by lenient Fed policies. He highlighted that Bitcoin tends to trade in tandem with highly leveraged tech-focused ETFs, indicating a strong correlation between Bitcoin and tech stocks.                  Bitcoin didn’t soar amid market crash, but It didn’t sink either              During the April 2025 market crash, Bitcoin held steady while stocks plunged, surprising many with its resilience. It didn’t surge, but its stability amid chaos hinted at its growing role as a value-preserving asset in turbulent times.So, what did Bitcoin do? Surprisingly, nothing catastrophic, and that was the story. While nearly everything else was tanking during the tariff-fueled sell-off, Bitcoin didn’t crash. That alone turned heads.In a market where even the most established benchmarks were falling apart, Bitcoin’s relative stability stood out to portfolio managers and institutional watchers.Long criticized as too volatile for serious portfolios, Bitcoin quietly weathered the storm better than many traditional assets. This wasn’t a moonshot moment. It was a resilience moment. Value preservation over value multiplication. And that’s what investors look for in a safe haven. Its ability to hold ground while the Nasdaq and S&P plunged gave more weight to the idea that Bitcoin might be evolving into something sturdier.To be clear, Bitcoin hasn’t fully decoupled from risk assets. It still responds to liquidity flows, monetary policy and investor sentiment. But at times like April 2025, it showed something different. It didn’t break. It held! And for a growing number of investors, that’s starting to matter.                  Bitcoin isn’t the new gold, but it’s not the old BTC either              Bitcoin’s growing resilience stems from a maturing market, rising institutional adoption and its appeal as a non-sovereign, portable hedge in times of financial or geopolitical stress. While not yet the ultimate safe haven, it’s clearly moved beyond its speculative roots and is earning a seat at the table.Part of this growing strength is structural. Over the past few years, the Bitcoin market has matured. Institutional adoption has risen. Spot Bitcoin ETFs now live in major markets. Custody solutions are better. And perhaps most importantly, there’s a broader understanding of what Bitcoin represents. Bitcoin is not just a speculative coin anymore. It’s a tool for financial sovereignty, for hedging against fiat depreciation and for stepping outside the boundaries of politicized financial infrastructure.There’s also the fact that Bitcoin is entirely non-sovereign. In a trade war scenario, where fiat currencies can be weaponized, and capital controls are deployed, Bitcoin becomes very attractive to people who want to move money across borders without interference. It’s portable, permissionless and increasingly liquid. These are three attributes of an asset you want in a crisis.Of course, none of this means Bitcoin is now the undisputed king of safe havens. Gold still plays that role for most of the world’s conservative investors. The US dollar is still the default when people want liquidity in a crunch. And Bitcoin’s price swings can still make people nervous. But you are seeing it graduate amid the market chaos. It’s no longer the outsider it once was.                  Bitcoin in times of crisis, safe haven 2.0?              In both 2019 and 2025, Bitcoin showed flashes of safe-haven behavior, proving it can act as a hedge in times of geopolitical stress. While it’s not gold just yet, its unique properties make it an increasingly serious contender in the global financial playbook.During both the 2019 trade tensions and the 2025 tariff escalation, Bitcoin acted more like a hedge than it did in earlier cycles. And that’s noteworthy. Even if Bitcoin doesn’t yet consistently play the safe-haven role, it’s starting to show it can, at least in specific contexts.There’s a bigger question brewing here, too. What does it mean for financial markets if Bitcoin does become a mainstream safe-haven asset? How does that change portfolio construction, risk models or even geopolitical strategy? After all, Bitcoin isn’t gold. It plays by entirely different rules.Bitcoin is programmable. It can be moved across the world instantly. It can be sliced into satoshis and embedded into smart contracts. If it becomes part of the global toolkit for navigating crises, that changes the game. So, is Bitcoin the new safe haven during trade wars? Not quite, at least not in the traditional sense. But it has undoubtedly earned a seat at the table. Bitcoin may not be the asset your grandparents bought to protect themselves in uncertain times, but for a growing number of investors, especially in the digital age, it’s becoming their version of safety. As geopolitical tensions rise and confidence in traditional financial systems erodes, Bitcoin is positioning itself as a potential hedge for the future.",https://cointelegraph.com/explained/is-bitcoin-the-new-safe-haven-during-trade-wars?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-04-15 12:23:58,"Tether, Galaxy, Ledn Dominate CeFi Crypto Lending as DeFi Borrowing Soars, Research Shows",CoinDesk,"borrowing, lending, money",https://www.coindesk.com/markets/2025/04/15/tether-galaxy-ledn-dominate-cefi-crypto-lending-as-defi-borrowing-soars-report
2025-04-15 12:22:29,"Bitcoin To Soar Against Gold After Trendline Breakout, Monero Sees Golden Cross",CoinDesk,gold bars (Philip Oroni/Unsplash+),https://www.coindesk.com/markets/2025/04/15/bitcoin-eyes-gains-versus-gold-after-trendline-breakout-monero-sees-golden-cross
2025-04-15 12:06:15,Crypto ‘uninvestable’ if exchanges ignore manipulation: DeFiance CEO,Cointelegraph,"A crypto investment executive said the biggest problem with digital asset markets is price manipulation, claiming that collusion between market makers and exchanges distorts token prices. Arthur Cheong, founder of crypto investment firm DeFiance Capital, said in an X post that market makers and crypto projects work together to create artificial prices that can be sustained for long periods. Cheong wrote: “You don’t know whether the price is a result of organic demand & supply or simply due to projects and market makers colluding to fix the price to achieve other objectives.”He added that if the industry’s players don’t step up and improve the situation, a big part of the crypto market will remain “uninvestable for the foreseeable future.”Centralized exchanges turning a “blind eye” Cheong said it was strange that centralized exchanges (CEXs) are “turning an absolute blind eye” to the issue. He described the altcoin market as a “lemon’s market,” a term in economics that describes a market where low-quality products drive out the good due to information asymmetry.In addition, Cheong described most token generation event pricing in 2025 as an “absolute joke” where the assets’ prices went down by 70% to 90% a few months after listing. “Anyone that bought is down massively,” Cheong added. Related: Binance, KuCoin, MEXC report service issues due to AWS network interruption88% of crypto tokens listed on Binance in 2025 declined after listing Data compiled by crypto analyst Miles Deutscher showed that among crypto tokens listed this year on the trading platform Binance, only 3 out of 27 are performing well. This means that 88% of the tokens have declined since listing. The price drops ranged from 19% up to 90%. Deutscher said this was the reason why retail investors were quitting. Only 3 out of 27 tokens listed in Binance in 2025 are in the green. Source: Miles Deutscher A community member responded to the data saying that this is where the industry is currently at. The X user added that they hoped Binance would realize starting at a high valuation wasn’t good for users. Binance co-founder Changpeng Zhao previously admitted that Binance’s listing process needs reform. On Feb. 10, the former Binance CEO said that the current system is flawed and suggested that CEXs should automate listings similar to how decentralized exchanges (DEXs) work. Magazine: New ‘MemeStrategy’ Bitcoin firm by 9GAG, jailed CEO’s $3.5M bonus: Asia Express",https://cointelegraph.com/news/crypto-uninvestable-if-exchanges-ignore-manipulation-defiance-ceo?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-04-15 11:18:46,Only 11% of El Salvador’s registered Bitcoin firms operational,Cointelegraph,"Only 20 of the 181 Bitcoin service providers registered with El Salvador’s central bank are operational, with the rest failing to meet the country’s requirements under its Bitcoin Law. Local media outlet El Mundo cited data from the Central Reserve Bank of El Salvador, showing that 11% of the service providers are operational. According to the central bank’s database, the rest of the providers are classified as non-operational. The data showed that at least 22 non-operational providers have failed to meet most of the country’s Bitcoin Law requirements, which mandate that providers implement stringent supervision of their financial systems. Most of El Salvador’s Bitcoin service providers are non-operationalEl Salvador’s Bitcoin Law requires providers to maintain an Anti-Money Laundering (AML) program, keep records that accurately reflect the company’s assets, liabilities and equity and have a tailored cybersecurity program depending on the nature of its services. The data showed that 89% of the registered providers have failed to meet some of these obligations to be classified as operational. Still, a few firms have satisfied the legal criteria, including the state-backed Chivo Wallet and companies including Crypto Trading & Investment and Fintech Américas.Related: Cathie Wood to kick off El Salvador’s AI public education programEl Salvador’s Bitcoin experimentIn 2021, El Salvador became the first country to accept Bitcoin as legal tender along with the US dollar. This move made Bitcoin integral to El Salvador President Nayib Bukele’s economic strategy. However, the Central American country recently signed a deal with the International Monetary Fund (IMF) on a $1.4 billion loan in exchange for rolling back some of its Bitcoin-related efforts. Under the agreement, taxes will be paid in US dollars and public institutions will limit their use of Bitcoin.On March 3, the IMF asked the country to stop its public sector Bitcoin buys. Still, Bukele said the government will continue to purchase Bitcoin, seemingly contradicting its IMF deal.The IMF deal prompted speculation about whether the country would rescind Bitcoin’s status as legal tender. John Dennehy, an El Salvador-based Bitcoin activist and educator, said in an X Space with Cointelegraph that a rollback law changing Bitcoin’s legal status is set to take effect on April 30.Magazine: Memecoin degeneracy is funding groundbreaking anti-aging research",https://cointelegraph.com/news/el-salvador-bitcoin-firms-operational-status?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-04-15 11:15:00,Crypto Daybook Americas: Bitcoin Dominance Nears 4-Year High as BTC Defies Global Jitters,CoinDesk,"strength, muscles, man, weights,",https://www.coindesk.com/daybook-us/2025/04/14/crypto-daybook-americas-bitcoin-dominance-nears-4-year-high-as-btc-defies-global-jitters
2025-04-15 10:46:49,Bitcoin shows growing strength during market downturn — Wintermute,Cointelegraph,"Bitcoin is showing growing resilience to macroeconomic headwinds compared with traditional financial markets, according to an April 14 report from crypto market maker Wintermute.The report noted that Bitcoin (BTC) has held up relatively well during the ongoing market downturn, even as the S&P 500 and Nasdaq dropped to their lowest levels in a year and bond yields surged to highs that had not been seen since 2007.“Bitcoin’s decline was comparatively modest, revisiting price levels from around the US election period,“ Wintermute wrote.According to Wintermute, “This marks a notable shift from its historical behavior in crisis situations.” In the past, Bitcoin’s losses were considerably greater than those of traditional finance indexes. The shift highlights Bitcoin’s “apparent growing resilience amid macroeconomic turbulence.“Founder of Obchakevich Research, Alex Obchakevich, told Cointelegraph that he expects this to be a temporary trend:“As the trade war intensifies, Bitcoin may return to the list of risky assets. Because investors will most likely look for salvation in gold.“Obchakevich said that factors that caused the stability of Bitcoin were growing institutional interest through exchange-traded funds (ETFs) and the promotion of Bitcoin as digital gold due to its decentralization and independence.Related: Bitcoin traders target $90K as apparent tariff exemptions ease US Treasury yieldsA change in Bitcoin market dynamicsOver the past week, Bitcoin’s price increased by 7% to $83,700 — later reaching nearly $86,000 at the time of publication. This growth occurred as the Consumer Price Index (CPI) rose by 2.4% year-over-year, with a month-over-month decline of 0.1% — the first monthly decrease since May 2020. This signals that inflation is cooling off.Year-over-year CPI percentage change. Source: US Bureau of Labor StatisticsFurthermore, the Producer Price Index (PPI) rose 2.7% year-over-year in March. The same metric stood at 3.2% in February, also showing signs of disinflationary pressures. Still, according to Wintermute, the trend may soon reverse:“Despite this progress toward the Fed’s 2% inflation target, the recent escalation in global trade tensions introduced new potential inflationary risks, which are not yet reflected in March’s data.”Monthly PPI percentage change. Source: US Bureau of Labor StatisticsRelated: Trade wars could spur governments to embrace Web3 — TruebitMore market turmoil expectedBitwise analyst Jeff Park recently argued that US President Donald Trump’s trade policies will create worldwide macroeconomic turmoil and short-term financial crises that will ultimately lead to greater adoption of Bitcoin. He said that we should expect an inflation increase:“The tariff costs, most likely through higher inflation, will be shared by both the US and trading partners, but the relative impact will be much heavier on foreigners. These countries will then have to find a way to fend off their weak growth issues.”Wintermute explained that the ongoing trade war heightens the risk of increased inflation and economic slowdown. Prediction market Kalshi traders recently placed the odds of a recession hitting the US this year at 61%, and JPMorgan sees a 60% likelihood.Magazine: Bitcoin eyes $100K by June, Shaq to settle NFT lawsuit, and more: Hodler’s Digest, April 6 – 12",https://cointelegraph.com/news/bitcoin-shows-increasing-resilience-likely-to-keep-outperforming-ether-wintermute?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-04-15 10:30:01,Can 3-month Bitcoin RSI highs counter bearish BTC price &#039;seasonality?&#039;,Cointelegraph,"Bitcoin (BTC) demands a breakout as a key leading indicator reaches its highest levels since January.Data from Cointelegraph Markets Pro and TradingView shows the relative strength index (RSI) hinting at more BTC price gains next.Bitcoin RSI breakout has days to “full confirmation” Bitcoin bull runs traditionally begin with telltale RSI signals, and on daily timeframes, conditions are ripe for a classic BTC price rebound.As BTC/USD made lower lows over the past month, RSI began trending in the opposite direction, setting higher lows and attempting a type of bullish divergence.More recently, the daily RSI broke above the 50 midpoint, only to successfully retest it as support from above before making new multimonth highs.BTC/USD 1-day chart with RSI data. Source: Cointelegraph/TradingViewAmong those monitoring the topic is popular trader and analyst Rekt Capital.“Bitcoin has successfully retested red as support & the Daily RSI Higher Low continues to maintain itself as well,” he commented alongside a chart in an X post this weekend.“Growing signs of a maturing Bullish Divergence here, with price just below the key Price Downtrend (blue).”BTC/USD 1-day chart with RSI data. Source: Rekt Capital/XRekt Capital also reported that RSI trends suggested a long-term BTC price floor at around $70,000.Meanwhile, fellow analyst Kevin Svenson captured similarly promising signals on weekly RSI this week.“Once confirmed, weekly RSI breakout signals have proven to be among the most reliable macro breakout indicators,” he told X followers. “6 Days until full confirmation.”BTC/USD 1-week chart with RSI data. Source: Kevin Svenson/XAs Cointelegraph reported, another key breakout currently under the microscope for Bitcoin market participants involves a downward-sloping trendline in place since January’s all-time highs.April BTC price performance far below medianCountering the bullish anticipation is an analysis focusing on the troublesome macroeconomic conditions in which Bitcoin now finds itself.Related: Bitcoin price metric that called 2020 bull run says $69K new bottomThe ongoing US trade war and risk-asset rout make for an unlikely influx of capital to BTC, which has closely followed stocks while gold sets repeated all-time highs.In his latest forecast for April, network economist Timothy Peterson saw little reason to celebrate.Uploading a chart of the median yearly price path for BTC/USD, he concluded that this year was a firm underperformer.“Half the days are above the blue line and half are below it. This April is obviously a 'below' month,” part of accompanying commentary read.“That is almost certainly not going to change, given the level of interest rates and other risk factors at work in the market and economy.”BTC price seasonality. Source: Timothy Peterson/XOther perspectives likewise see a lackluster April before bullish undercurrents catch up with Bitcoin, these in the form of record global M2 money supply and a weakening US dollar index (DXY).This article does not contain investment advice or recommendations. Every investment and trading move involves risk, and readers should conduct their own research when making a decision.",https://cointelegraph.com/news/can-3-month-bitcoin-rsi-highs-bearish-btc-price-seasonality?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-04-15 10:13:57,Bitcoin ETFs Lose Over $800M in April as Institutions Stick With Bonds Amid Tariff Volatility,CoinDesk,Institutions prefer bonds over BTC. (Pixabay),https://www.coindesk.com/markets/2025/04/15/bitcoin-etfs-lose-over-usd800m-in-april-as-institutions-stick-with-bonds-amid-tariff-volatility
2025-04-15 08:45:18,"Binance, KuCoin, and Other Crypto Firms Hit by Amazon Web Service Issue",CoinDesk,Server down (CoinDesk archives),https://www.coindesk.com/markets/2025/04/15/binance-kucoin-and-other-crypto-firms-hit-by-amazon-web-service-issue
2025-04-15 06:57:57,Japanese Bonds Stir Unease as Bitcoin Recovers From Last Week's Tariff Panic,CoinDesk,"Japan, Yen (Unsplash)",https://www.coindesk.com/markets/2025/04/15/japanese-bonds-stir-unease-as-bitcoin-recovers-from-last-week-s-tariff-panic
2025-04-15 05:13:57,US has ‘countless’ ways to bolster Bitcoin reserve: Bo Hines,Cointelegraph,"The US is exploring many ways to increase its Bitcoin reserve without taxpayer dollars, including through tariff revenue and revaluing the government’s gold certificates, according to the executive director of the Trump administration’s crypto council.“We're looking at many creative ways, whether it be from tariffs, there’s literally countless ways in which you can do this,” Bo Hines of the Presidential Council of Advisers for Digital Assets said in a recent interview with Professional Capital Management CEO Anthony Pompliano.Hines said the Treasury could revalue its gold certificates, valued at $43 per ounce, to the current market price of $3,200 per ounce, creating a paper surplus to fund Bitcoin purchases without selling gold.“Everything is on the table, and like we've said, we want as much as we can get, so we’re going to make sure that no stone is unturned,” Hines said in the interview, which aired on April 14.?? LATEST: Executive Director of Digital Assets Bo Hines said the US government may buy Bitcoin using tariff revenue. pic.twitter.com/Gfc2HiEJoL— Cointelegraph (@Cointelegraph) April 15, 2025The Bitcoin Reserve will initially comprise assets forfeited in government criminal cases but allow for the government to develop budget-neutral strategies for acquiring additional Bitcoin. During the interview, Hines said the White House is also developing a digital asset framework outlining how the US plans to support crypto innovation and promote US dollar stablecoins worldwide.“It'll provide clarity on many aspects of this space, whether it be from tokenization to staking, all sorts of things,” Hines said, adding that the Trump administration has been moving rapidly to make America the “crypto capital of the world.”Related: Bitcoin takes back seat as Trump, Bukele focus on trade and immigration“We're moving at tech speed, it’s like we’re a startup in this building,” Hines said. “We'll continue moving this along quite quickly.”The report Hines referred to is expected to be published in late July or August.No mention of Trump’s crypto venturesHines wasn’t asked to address some of Trump’s potential conflicts of interest in the crypto space, including the controversial Official Trump (TRUMP) memecoin and the Trump family’s business venture with World Liberty Financial — which have been raised by the opposition party. I watched this interview in full.Pomp didn't ask about:1. How much Bitcoin the US government owns, and the internal audit the Trump administration told us that should have already been completed 2. Donald Trump's growing list of conflicts of interests in the cryptocurrency… https://t.co/bVnXBkCmK1— Pledditor (@Pledditor) April 14, 2025Last month, House Representative Gerald E. Connolly referred to the TRUMP token as a “money grab” that resulted in Trump-linked entities cashing in on over $100 million worth of trading fees.Representative Maxine Waters also criticized Trump’s memecoin on Jan. 20, referring to a rug pull while claiming the launch represented the “worst of crypto.”The White House’s AI and crypto czar, David Sacks, said the TRUMP memecoin was nothing more than a collectible.Hines also wasn’t asked whether the US completed an internal audit of its Bitcoin (BTC) holdings — a task that was supposed to be completed within 30 days of US President Donald Trump’s March 6 executive order establishing the Strategic Bitcoin Reserve.Magazine: Trump’s crypto ventures raise conflict of interest, insider trading questions",https://cointelegraph.com/news/us-countless-ways-stack-bitcoin-reserve-bo-hines-says?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-04-15 05:02:40,"Dogecoin Slumps 3%, Bitcoin Steady Around $85K as Traders Fear U.S. Recession",CoinDesk,DOGE loses key price levels. (Virginia Marinova/Unsplash),https://www.coindesk.com/markets/2025/04/15/dogecoin-slumps-3-bitcoin-steady-around-usd85k-as-traders-fear-u-s-recession
2025-04-15 04:15:52,Crypto exec warns of ‘ELUSIVE COMET’ threat after losing 75% of assets,Cointelegraph,"The chief executive of non-fungible token platform Emblem Vault is warning X users to be wary of the video meeting app Zoom after a nefarious threat actor known as “ELUSIVE COMET” recently stole over $100,000 of his personal assets. On April 11, Emblem Vault CEO, podcaster and NFT collector Jake Gallen said on X that he had been battling a “complete computer compromise” that ended up with a loss of Bitcoin (BTC) and Ether (ETH) assets from different wallets. “Unfortunately, this led to $100k+ in purchased digital assets being lost,” he said. Days later, Gallen said he had been working with cybersecurity firm The Security Alliance (SEAL) to track an ongoing campaign against crypto users by a threat actor identified as “ELUSIVE COMET.”Gallen said the scam was facilitated by the video conference platform Zoom, which resulted in his crypto wallet being drained. “We were able to retrieve a malware file that was installed on my computer during a Zoom call with a YouTube personality of over 90k subs,” said Gallen on April 14. The malicious actor “employs sophisticated social engineering tactics with the goal of inducing victims into installing malware and ultimately stealing their crypto,” SEAL reported in late March.Source: Jake GallenGallen said he’d arranged an interview after being contacted by “Tactical Investing,” a verified X account claiming to be the founder and CEO of Fraction Mining. However, during the interview, Tactical Investing left their screen switched off while Gallen’s was on, enabling the installation of malware called “GOOPDATE,” which stole credentials and accessed his crypto wallets. Cointelegraph reached out to the X account for comment. Zoom remote access threat“For this scam to take place, its said that the guest of the Zoom video call allows remote access to the host of the call, which is a requestable feature that is DEFAULT ON for every Zoom account,” said Gallen.NFT collector Leonidas confirmed the default settings and advised those in the crypto industry to prevent remote access. “If you don't do this, anybody who is on a Zoom call with your employees can take over their entire computer by default,” he said. Source: LeonidasSEAL security researcher Samczsun told Cointelegraph that Zoom, by default, allows meeting participants to request remote control access. “At this point in time we believe the victim still needs to be social engineered into granting access,” they said. Cointelegraph reached out to Zoom for comments but did not receive an immediate response. Related: Crypto founders report deluge of North Korean fake Zoom hacking attemptsGallen also stated that the hackers accessed his Ledger wallet even though he had only logged in a few times over the three years and had never written the password down anywhere digitally. They also hacked his X account in an attempt to lure in other victims through private messages. SEAL reported that ELUSIVE COMET is known to operate Aureon Capital, which claims to be a legitimate venture capital firm. The threat actor is responsible for “millions of dollars in stolen funds” and poses a significant risk to users due to their “carefully engineered backstory,” the firm noted. Samczsun advised users who have interacted with Aureon Capital to contact SEAL’s emergency hotline on Telegram. Magazine: Bitcoin eyes $100K by June, Shaq to settle NFT lawsuit, and more: Hodler’s Digest",https://cointelegraph.com/news/emblem-vault-ceo-loses-75-assets-in-elusive-comet-scam?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-04-15 03:43:10,Xapo Bank sees Bitcoin trading surge as wealthy investors bought the dip,Cointelegraph,"Gibraltar-based Xapo Bank, a private bank and Bitcoin custodian, reported a surge in Bitcoin trading volumes in the first quarter as its high-net-worth members scooped up Bitcoin amid market turbulence. Xapo Bank said that Q1 trading volume grew 14.2% compared to the  Q4 2024, as the Bitcoin (BTC) price drop helped drive trading volume growth on its platform. It said that during the decline, its high net-worth members “actively bought the dip,” reflecting these members’ “commitment to the long-term potential of Bitcoin.”In the first quarter of 2025, Bitcoin had its worst start to a year since 2018, closing the quarter down 13%. The crypto-friendly bank became the first licensed bank to launch interest-bearing Bitcoin and fiat banking accounts in the UK in 2025 and launched Bitcoin-backed USD loans of up to $1 million in March 2025.Xapo Bank’s self-selected poll on X showed respondents favored using Bitcoin for savings and investment. Source: Xapo Bank It also recorded a 50% quarter-on-quarter jump in euro deposits. “This rapid increase in volume came amidst mounting concern about the future of US dollar primacy and the threat of a US recession as markets braced for Trump’s planned ‘Liberation Day’ in April,” the bank said.There were also significant shifts in Xapo members’ stablecoin deposit patterns, with USDC deposits up 19.8% in Q1 and Tether (USDT) deposits down 13.4%. This shift comes as European cryptocurrency exchanges moved to delist Tether in order to comply with Markets in Crypto-Assets Regulation regulations.“Xapo Bank member data shows that despite short-term headwinds, the bigger picture for Bitcoin remains strong and current volatility does not diminish Bitcoin's importance,” said Gadi Chait, Xapo Bank’s head of investment. Chait added that “while global events painted an erratic picture, the opportunity for Bitcoin has always been in its long-term performance, not its short-term volatility.”Related: Exclusive: Inside a Swiss nuclear bunker’s secret Bitcoin vaultCrypto exchange Bitget also sees Q1 trading volumes surgeMarket turmoil also prompted a flurry of activity on digital currency exchange Bitget, according to its Q1 2025 Transparency Report. Bitget’s total trading volume hit $2.1 trillion in the first quarter of 2025, as spot trading volume saw a quarter-on-quarter increase of 159%, rising to $387 billion.This surge in trading volume came as Bitget’s total user base grew by almost 20%, with the exchange adding an additional 4.89 million users on its centralized exchange and 15 million users on its Bitget Wallet app — bringing its total global user count to over 120 million.Bitget’s CEO, Gracy Chen, said the exchange will continue to “focus on institutional-grade infrastructure and double down on expanding its Web3 presence through our ecosystem.”In February, Bitget loaned rival exchange Bybit 40,000 ETH, valued at approximately $100 million, after Bybit suffered a major hack. The loan has since been fully repaid by Bybit.“No interest, no collateral — this was simply about supporting a peer in need. Great to see Bybit fully recovered, and we never doubted the return of the loan,” Chen said. Magazine: Bitcoin eyes $100K by June, Shaq to settle NFT lawsuit, and more: Hodler’s Digest, April 6 – 12",https://cointelegraph.com/news/xapo-bank-bitcoin-trading-surge-wealthy-members-bought-dip?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
